,position_name,company_name,job_location,Seniority level,Employment type,Job function,Industries,sql, python , excel , r , tableau , power bi ,collection_date,search
39,Data Insights Analyst - Quality and Compliance,PharmiWeb.Jobs,"Dublin, County Dublin, Ireland",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting,1,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
40,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
41,English Media Search Analyst,TELUS International AI Data Solutions,"Dublin, County Dublin, Ireland",Entry level,Part-time,Information Technology and Research,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
42,Service Data Analyst,Leidos,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Defense and Space Manufacturing,1,1,1,0,0,1,25/08/2022," ""Data"" ""Analyst"" "
43,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
44,English Media Search Analyst,TELUS International AI Data Solutions,"Dublin City, County Dublin, Ireland",Entry level,Part-time,Information Technology and Research,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
45,Support Analyst 1,"Milestone Technologies, Inc.","Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
46,Financial Analyst,Pfizer,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Pharmaceutical Manufacturing,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
47,Insurance QA Analyst,Sedgwick,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,"Claims Adjusting, Actuarial Services",0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
48,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
49,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,1,0,0,25/08/2022," ""Data"" ""Analyst"" "
50,Insights Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting,1,1,1,0,0,1,25/08/2022," ""Data"" ""Analyst"" "
51,Data Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
52,Laboratory Analyst,Cpl,"Limerick, County Limerick, Ireland",Entry level,Temporary,"Research, Analyst, and Information Technology",Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
53,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,1,1,25/08/2022," ""Data"" ""Analyst"" "
54,QC Analyst,Pfizer,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
55,Media Monitoring Analyst,Bank of America,"Dublin, County Dublin, Ireland",Entry level,Full-time,Marketing and Sales,Credit Intermediation,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
56,Data Analyst - CRM Analytics,Frontiers,Ireland,Entry level,Full-time,Information Technology,Book and Periodical Publishing,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
57,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
58,Data Insights Analyst - Quality and Compliance,ICON plc,"Dublin City, County Dublin, Ireland",Entry level,Contract,"Research, Analyst, and Information Technology",Pharmaceutical Manufacturing,1,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
59,Application Support Analyst,Capita,"Cork, County Cork, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,0,0,1,0,0,1,25/08/2022," ""Data"" ""Analyst"" "
60,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
61,EMEA Cyber Threat Intelligence Analyst,Bank of America,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Credit Intermediation,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
62,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
63,Junior Business Analyst,Morgan McKinley,"Dublin City, County Dublin, Ireland",Entry level,Temporary,"Research, Analyst, and Information Technology",Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
64,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,1,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
65,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,1,0,0,25/08/2022," ""Data"" ""Analyst"" "
66,"Data Analyst , Tax Technology & Transformation Team",EY,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Accounting,1,1,0,1,1,1,25/08/2022," ""Data"" ""Analyst"" "
67,Data Analyst,Realtime Recruitment,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
68,Junior PMO Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Contract,Project Management and Information Technology,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
69,Analyst- Oversight Team,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
70,Microbiology Lab Analyst,Cpl,"Cork, County Cork, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
71,QC Microbiology Analyst,Pfizer,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
72,Data analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
73,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
74,Data Analyst,Reperio Human Capital,"Limerick, County Limerick, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
75,Graduate Legal Analyst,Brightflag,"County Dublin, Ireland",Entry level,Full-time,"Analyst, Administrative, and Legal",Software Development,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
76,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
77,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
78,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
79,Index Operations Analyst,Infosys BPM,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Accounting/Auditing,Financial Services and Accounting,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
80,Global Data Privacy Analyst,Trust In SODA,"Dublin, County Dublin, Ireland",Entry level,Full-time,Analyst,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
81,GIS Analyst,Stantec,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Design Services,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
82,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,1,1,25/08/2022," ""Data"" ""Analyst"" "
83,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,1,1,1,25/08/2022," ""Data"" ""Analyst"" "
